NBC,,,,,,,,,,,,,,,,,,,,,,,F280,,,,,,,,,,,,,,,,,,,,,
Location,Prov,Elev (m),Latitude,Longitude,Elevation (m),January 2.5% DB (°C),January 1% DB (°C),July 2.5% DB (°C),July 2.5% WB (°C),Future July 2.5% DB (°C),Degree-Days below 18 °C,15 min. Rain (mm),"One day rain, 1/50 (mm)",Annual Rain (mm),Moist Index,Annual total precipitation (mm),"Driving rain wind pressures (Pa), 1/5","S_s Snow Load (kPa), 1/5","S_r Snow Load (kPa), 1/5","Hourly wind pressures (kPa), 1/10","Hourly wind pressures (kPa), 1/50",Climate_Zone,City,Region,DegDay,DHDBT,DCDBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Killaloe,ON,185,45.55,-77.42,185,-28,-31,30,22,34,4960,23,86,680,0.8,825,120,2.7,0.4,0.27,0.35,CZ6,Killaloe,ON,4960,-28,30,14,13,8,12,10,-12,-10,-4,-5,12,17,19,18,13,8,1,-8
Kincardine,ON,190,44.18,-81.63,190,-17,-19,28,22,32,3890,25,92,800,1,950,180,2.6,0.4,0.37,0.48,CZ5,Kincardine,ON,3890,-17,28,10,14,10,21,12,-5,-4,0,5,12,18,19,19,15,10,3,-2
Kingston,ON,80,44.23,-76.48,80,-22,-24,28,23,32,4000,23,108,780,1,950,180,2.1,0.4,0.37,0.47,CZ6,Kingston,ON,4000,-22,28,9,16,10,19,13,-7,-6,-1,7,13,18,21,20,16,9,3,-3
Kinmount,ON,295,44.78,-78.65,295,-26,-28,29,23,33,4600,25,108,750,0.9,950,120,2.7,0.4,0.27,0.35,CZ6,Kinmount,ON,4600,-26,29,13,15,9,13,9,-10,-9,-3,5,12,16,19,18,13,7,1,-6
Kirkland Lake,ON,325,48.15,-80.03,325,-33,-36,29,22,33,6000,23,92,600,0.8,875,100,2.9,0.3,0.3,0.39,CZ7B,Kirkland Lake,ON,6000,-33,29,12,14,6,13,12,-17,-15,-8,1,10,15,18,16,11,5,-4,-13
Kitchener,ON,335,43.45,-80.48,335,-19,-21,29,23,33,4200,28,119,780,0.9,925,140,2,0.4,0.29,0.37,CZ6,Kitchener,ON,4200,-19,29,12,15,9,15,10,-7,-6,-1,6,13,17,20,19,14,8,2,-4
Kitchenuhmaykoosib,ON,215,53.83,-90,215,-38,-40,26,20,30,7450,18,92,400,0.75,600,150,3.2,0.2,0.31,0.42,CZ8,Kitchenuhmaykoosib,ON,7450,-38,26,11,12,3,14,15,-22,-20,-12,-3,6,13,16,15,9,2,-8,-17
Lakefield,ON,240,44.43,-78.27,240,-24,-26,30,23,34,4330,25,92,720,0.9,850,140,2.2,0.4,0.3,0.38,CZ6,Lakefield,ON,4330,-24,30,12,15,9,13,9,-8,-7,-1,6,13,18,20,19,15,8,2,-5
Lansdowne House,ON,240,52.23,-87.88,240,-38,-40,28,21,32,7150,23,92,500,0.8,680,140,3,0.2,0.24,0.32,CZ8,Lansdowne House,ON,7150,-38,28,10,13,5,14,14,-21,-18,-11,-1,7,14,17,16,10,3,-7,-16
Leamington,ON,190,42.08,-82.57,190,-15,-17,31,24,34,3400,28,113,800,0.9,875,180,0.8,0.4,0.37,0.47,CZ5,Leamington,ON,3400,-15,31,9,16,11,15,9,-5,-4,1,7,14,19,22,21,17,11,5,-1
Lindsay,ON,265,44.35,-78.73,265,-24,-26,30,23,34,4320,25,103,720,0.8,850,140,2.3,0.4,0.3,0.38,CZ6,Lindsay,ON,4320,-24,30,12,15,9,12,10,-9,-7,-2,6,13,17,20,19,14,8,2,-5
Lion's Head,ON,185,44.98,-81.25,185,-19,-21,27,22,31,4300,25,103,700,0.9,950,180,2.7,0.4,0.37,0.48,CZ6,Lion's Head,ON,4300,-19,27,10,15,8,19,12,-6,-6,-2,5,11,16,19,18,15,9,3,-3
Listowel,ON,380,43.73,-80.95,380,-19,-21,29,23,33,4300,28,119,800,0.9,1000,160,2.6,0.4,0.34,0.43,CZ6,Listowel,ON,4300,-19,29,11,15,9,17,11,-6,-7,-1,5,12,17,19,19,14,8,2,-4
London,ON,245,42.98,-81.23,245,-18,-20,30,24,34,3900,28,103,825,0.9,975,180,1.9,0.4,0.37,0.47,CZ5,London,ON,3900,-18,30,10,16,10,19,11,-5,-5,0,7,13,18,21,20,16,9,4,-2
Lucan,ON,300,43.18,-81.4,300,-17,-19,30,23,34,3900,25,113,810,0.9,1000,180,2.3,0.4,0.37,0.48,CZ5,Lucan,ON,3900,-17,30,12,15,10,19,11,-6,-5,0,7,14,19,21,20,16,10,3,-3
Maitland,ON,85,44.63,-75.62,85,-23,-25,29,23,33,4080,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,CZ6,Maitland,ON,4080,-23,29,10,15,10,18,13,-8,-7,-1,6,13,18,21,20,15,9,3,-4
Markdale,ON,425,44.32,-80.65,425,-20,-22,29,22,33,4500,28,103,820,0.9,1050,160,3.2,0.4,0.32,0.41,CZ6,Markdale,ON,4500,-20,29,11,14,8,17,10,-8,-7,-3,4,11,17,18,18,13,8,1,-5
Markham,ON,175,43.87,-79.27,175,-21,-23,31,24,35,4000,25,86,720,0.8,825,140,1.3,0.4,0.34,0.44,CZ6,Markham,ON,4000,-21,31,11,16,10,15,11,-6,-5,-1,6,13,19,21,20,16,9,3,-3
Martin,ON,485,49.25,-91.13,485,-35,-37,29,22,33,5900,25,103,560,0.8,750,120,2.6,0.3,0.22,0.3,CZ7A,Martin,ON,5900,-35,29,13,14,6,8,7,-19,-15,-8,1,10,15,18,16,10,4,-5,-15
Matheson,ON,265,48.53,-80.47,265,-33,-36,29,21,33,6080,20,86,580,0.8,825,100,2.8,0.3,0.3,0.39,CZ7B,Matheson,ON,6080,-33,29,13,12,6,12,11,-17,-15,-8,1,10,15,18,16,11,5,-4,-13
Mattawa,ON,165,46.32,-78.7,165,-29,-31,30,22,34,5050,23,86,700,0.9,875,100,2.1,0.4,0.25,0.32,CZ7A,Mattawa,ON,5050,-29,30,12,13,8,12,10,-12,-12,-5,2,11,16,19,18,13,8,0,-8
Midland,ON,190,44.75,-79.88,190,-24,-26,29,23,33,4200,25,97,740,0.9,1060,160,2.7,0.4,0.3,0.39,CZ6,Midland,ON,4200,-24,29,10,15,8,9,6,-9,-7,-2,6,13,18,21,20,15,9,3,-4
Milton,ON,200,43.52,-79.88,200,-18,-20,30,23,34,3920,25,125,750,0.9,850,160,1.3,0.4,0.34,0.43,CZ5,Milton,ON,3920,-18,30,12,15,10,15,11,-7,-6,-1,6,12,17,20,19,15,9,3,-3
Milverton,ON,370,43.57,-80.92,370,-19,-21,29,23,33,4200,28,108,800,0.9,1050,160,2.4,0.4,0.34,0.43,CZ6,Milverton,ON,4200,-19,29,11,15,9,17,11,-6,-7,-1,5,12,17,19,19,14,8,2,-4
Minden,ON,270,44.92,-78.73,270,-27,-29,29,23,33,4640,25,97,780,0.9,1010,100,2.7,0.4,0.27,0.35,CZ6,Minden,ON,4640,-27,29,14,15,8,14,10,-10,-9,-3,5,12,16,19,18,13,7,1,-6
Mississauga,ON,160,43.58,-79.65,160,-18,-20,30,23,34,3880,25,113,720,0.9,800,160,1.1,0.4,0.34,0.44,CZ5,Mississauga,ON,3880,-18,30,9,15,10,18,12,-5,-4,0,6,12,17,21,20,16,10,5,-1
Mississauga (Toronto LBP Int'l Airport),ON,170,43.68,-79.61,170,-20,-22,31,24,35,3890,26,108,685,0.8,790,160,1.1,0.4,0.34,0.44,CZ5,Mississauga (Toronto LBP Int'l Airport),ON,3890,-20,31,10,16,10,18,12,-5,-4,0,7,13,19,22,20,16,10,4,-2
Mississauga Port Credit,ON,75,43.55,-79.58,75,-18,-20,29,23,33,3780,25,108,720,0.9,800,160,0.9,0.4,0.37,0.48,CZ5,Mississauga Port Credit,ON,3780,-18,29,9,15,10,23,12,-5,-4,0,6,12,17,21,20,16,10,5,-1
Mitchell,ON,335,43.47,-81.2,335,-18,-20,29,23,33,4100,28,113,810,0.9,1050,160,2.4,0.4,0.35,0.45,CZ6,Mitchell,ON,4100,-18,29,12,15,9,17,11,-7,-7,-1,6,13,17,20,19,15,8,2,-4
Moosonee,ON,10,51.32,-80.72,10,-36,-38,28,22,32,6800,18,81,500,0.8,700,160,2.7,0.3,0.26,0.35,CZ7B,Moosonee,ON,6800,-36,28,12,14,5,11,11,-20,-17,-11,-2,7,13,16,16,11,5,-4,-13
Morrisburg,ON,75,44.9,-75.18,75,-23,-25,30,23,34,4370,25,103,800,0.9,950,180,2.3,0.4,0.32,0.41,CZ6,Morrisburg,ON,4370,-23,30,12,15,9,18,13,-10,-9,-2,6,13,18,20,19,14,8,2,-6
Mount Forest,ON,420,43.98,-80.73,420,-21,-24,28,22,32,4700,28,103,740,0.9,940,140,2.7,0.4,0.32,0.41,CZ6,Mount Forest,ON,4700,-21,28,10,14,9,16,18,-7,-7,-2,5,11,17,19,18,14,8,2,-4
Nakina,ON,325,50.17,-86.7,325,-36,-38,28,21,32,6500,20,86,540,0.8,750,100,2.8,0.4,0.22,0.3,CZ7B,Nakina,ON,6500,-36,28,12,13,5,11,11,-19,-15,-9,1,9,14,17,16,10,3,-6,-14
Nanticoke (Jarvis),ON,205,42.88,-80.1,205,-17,-18,30,23,34,3700,28,108,840,1,900,160,1.4,0.4,0.37,0.48,CZ5,Nanticoke (Jarvis),ON,3700,-17,30,11,15,10,17,11,-6,-5,0,6,13,18,21,20,16,9,4,-3
Nanticoke (Port Dover),ON,180,42.78,-80.2,180,-15,-17,30,24,34,3600,25,108,860,1,950,140,1.2,0.4,0.37,0.48,CZ5,Nanticoke (Port Dover),ON,3600,-15,30,10,16,10,17,11,-6,-5,0,6,13,18,21,20,16,10,4,-2
Napanee,ON,90,44.25,-76.95,90,-22,-24,29,23,33,4140,23,92,770,0.9,900,160,1.9,0.4,0.34,0.43,CZ6,Napanee,ON,4140,-22,29,12,15,9,18,13,-8,-6,-1,6,13,18,20,20,15,9,3,-3
Newcastle,ON,115,43.92,-78.58,115,-20,-22,30,23,34,3990,23,86,760,0.9,830,160,1.5,0.4,0.37,0.48,CZ5,Newcastle,ON,3990,-20,30,11,15,9,15,8,-6,-5,0,6,12,17,20,19,15,8,3,-3
Newcastle (Bowmanville),ON,95,43.91,-78.68,95,-20,-22,30,23,34,4000,23,86,760,0.9,830,160,1.4,0.4,0.37,0.48,CZ6,Newcastle (Bowmanville),ON,4000,-20,30,11,15,10,15,8,-6,-5,0,6,12,17,20,19,15,8,3,-3
New Liskeard,ON,180,47.5,-79.67,180,-32,-35,30,22,34,5570,23,92,570,0.8,810,100,2.6,0.4,0.34,0.43,CZ7A,New Liskeard,ON,5570,-32,30,13,13,7,13,12,-16,-15,-7,1,10,16,19,16,11,6,-2,-12
Newmarket,ON,185,44.05,-79.47,185,-22,-24,30,23,34,4260,28,108,700,0.8,800,140,2,0.4,0.3,0.38,CZ6,Newmarket,ON,4260,-22,30,11,15,9,13,10,-7,-6,-1,6,12,17,20,19,15,8,2,-4
Niagara Falls,ON,210,43.1,-79.07,210,-16,-18,30,23,34,3600,23,96,810,0.9,950,160,1.8,0.4,0.34,0.43,CZ5,Niagara Falls,ON,3600,-16,30,10,15,10,21,13,-4,-4,1,7,14,19,22,21,17,11,5,-1
North Bay,ON,210,46.32,-79.47,210,-28,-30,28,22,32,5150,25,95,775,0.9,975,120,2.2,0.4,0.27,0.34,CZ7A,North Bay,ON,5150,-28,28,9,14,7,14,11,-12,-10,-5,4,11,16,19,18,13,6,-1,-8
Norwood,ON,225,44.38,-77.98,225,-24,-26,30,23,34,4320,25,92,720,0.8,850,120,2.1,0.4,0.32,0.41,CZ6,Norwood,ON,4320,-24,30,12,15,9,13,9,-9,-9,-2,5,13,17,20,19,14,8,2,-6
Oakville,ON,90,43.45,-79.68,90,-18,-20,30,23,34,3760,23,97,750,0.9,850,160,1.1,0.4,0.37,0.47,CZ5,Oakville,ON,3760,-18,30,11,15,10,23,12,-5,-4,0,6,12,18,21,20,16,9,4,-2
Orangeville,ON,430,43.92,-80.1,430,-21,-23,29,23,33,4450,28,108,730,0.8,875,140,2.3,0.4,0.28,0.36,CZ6,Orangeville,ON,4450,-21,29,12,15,8,14,10,-8,-7,-2,5,12,17,19,18,14,8,2,-5
Orillia,ON,230,44.62,-79.42,230,-25,-27,29,23,33,4260,25,103,740,0.9,1000,120,2.4,0.4,0.28,0.36,CZ6,Orillia,ON,4260,-25,29,10,15,8,14,10,-8,-8,-2,6,13,17,21,19,15,8,2,-5
Oshawa,ON,110,43.9,-78.85,110,-19,-21,30,23,34,3860,23,86,760,0.9,875,160,1.4,0.4,0.37,0.48,CZ5,Oshawa,ON,3860,-19,30,11,15,10,15,9,-6,-5,1,7,14,18,21,20,16,9,4,-3
Ottawa (Barrhaven),ON,98,45.28,-75.76,98,-25,-27,30,23,34,4500,25,92,750,0.8,900,160,2.4,0.4,0.32,0.41,CZ6,Ottawa (Barrhaven),ON,4500,-25,30,10,15,9,15,10,-10,-8,-2,6,13,19,21,20,15,8,2,-6
Ottawa (city hall),ON,70,45.42,-75.69,70,-25,-27,30,23,34,4440,23,86,750,0.8,900,160,2.4,0.4,0.32,0.41,CZ6,Ottawa (city hall),ON,4440,-25,30,11,15,10,12,9,-10,-9,-2,6,14,18,21,20,15,8,2,-7
Ottawa (Kanata),ON,98,45.31,-75.91,98,-25,-27,30,23,34,4520,25,92,730,0.8,900,160,2.5,0.4,0.32,0.41,CZ6,Ottawa (Kanata),ON,4520,-25,30,10,15,9,15,10,-11,-10,-3,6,13,18,21,19,15,11,1,-7
Ottawa (M-C Int'l Airport),ON,125,45.32,-75.67,125,-25,-27,30,23,34,4500,24,89,750,0.8,900,160,2.4,0.4,0.32,0.41,CZ6,Ottawa (M-C Int'l Airport),ON,4500,-25,30,10,15,9,15,10,-10,-8,-2,6,13,19,21,20,15,8,2,-6
Ottawa (Orleans),ON,70,45.48,-75.52,70,-26,-28,30,23,33,4500,23,91,750,0.8,900,160,2.4,0.4,0.32,0.41,CZ6,Ottawa (Orleans),ON,4500,-26,30,11,15,8,14,12,-11,-10,-3,5,13,18,21,19,14,8,1,-7
Owen Sound,ON,215,44.57,-80.93,215,-19,-21,29,22,33,4030,28,113,760,0.9,1075,160,2.8,0.4,0.34,0.44,CZ6,Owen Sound,ON,4030,-19,29,10,14,9,17,10,-6,-6,-1,5,11,16,20,19,15,10,3,-2
Pagwa River,ON,185,50.02,-85.22,185,-35,-37,28,21,32,6500,20,86,540,0.8,825,80,2.7,0.4,0.22,0.3,CZ7B,Pagwa River,ON,6500,-35,28,13,13,5,10,10,-19,-15,-9,0,8,15,17,16,12,4,-5,-12
Paris,ON,245,43.2,-80.38,245,-18,-20,30,23,34,4000,23,96,790,0.9,925,160,1.4,0.4,0.33,0.42,CZ6,Paris,ON,4000,-18,30,11,15,10,15,12,-6,-5,0,7,14,19,21,20,16,9,4,-3
Parkhill,ON,205,43.15,-81.68,205,-16,-18,31,23,35,3800,25,103,800,0.9,925,180,2.1,0.4,0.37,0.48,CZ5,Parkhill,ON,3800,-16,31,11,14,10,19,11,-5,-4,1,7,13,19,21,20,16,10,4,-2
Parry Sound,ON,215,45.35,-80.03,215,-24,-26,28,22,32,4640,23,97,820,1,1050,160,2.8,0.4,0.3,0.39,CZ6,Parry Sound,ON,4640,-24,28,9,14,8,10,10,-9,-7,-2,6,12,16,20,19,15,8,2,-5
Pelham (Fonthill),ON,230,43.03,-79.28,230,-15,-17,30,23,34,3690,23,96,820,0.9,950,160,2.1,0.4,0.33,0.42,CZ5,Pelham (Fonthill),ON,3690,-15,30,9,15,11,13,8,-5,-4,1,7,14,19,21,21,17,10,4,-2
Pembroke,ON,125,45.82,-77.12,125,-28,-31,30,23,34,4980,23,105,640,0.8,825,100,2.5,0.4,0.27,0.35,CZ6,Pembroke,ON,4980,-28,30,13,15,8,11,9,-12,-10,-4,5,12,17,19,18,14,7,0,-8
Penetanguishene,ON,220,44.78,-79.92,220,-24,-26,29,23,33,4200,25,97,720,0.9,1050,160,2.8,0.4,0.3,0.39,CZ6,Penetanguishene,ON,4200,-24,29,10,15,9,9,6,-9,-7,-2,6,13,18,21,20,15,9,3,-4
Perth,ON,130,44.9,-76.25,130,-25,-27,30,23,34,4540,25,92,730,0.8,900,140,2.3,0.4,0.32,0.41,CZ6,Perth,ON,4540,-25,30,12,15,9,11,8,-10,-8,-2,6,14,18,21,20,15,8,2,-6
Petawawa,ON,135,45.9,-77.33,135,-29,-31,30,23,34,4980,23,92,640,0.8,825,100,2.6,0.4,0.27,0.35,CZ6,Petawawa,ON,4980,-29,30,13,15,8,11,9,-12,-10,-4,5,12,17,19,18,14,7,0,-8
Peterborough,ON,200,44.3,-78.32,200,-23,-25,30,23,34,4400,25,92,710,0.8,840,140,2,0.4,0.32,0.41,CZ6,Peterborough,ON,4400,-23,30,12,15,9,13,9,-8,-6,-2,6,12,17,19,19,15,8,2,-3
Petrolia,ON,195,42.87,-82.15,195,-16,-18,31,24,34,3640,25,108,810,0.9,920,180,1.3,0.4,0.37,0.47,CZ5,Petrolia,ON,3640,-16,31,12,16,10,19,12,-5,-4,1,7,14,19,21,21,17,10,4,-2
Pickering (Dunbarton),ON,85,43.82,-79.1,85,-19,-21,30,23,34,3800,23,92,730,0.9,825,140,1,0.4,0.37,0.48,CZ5,Pickering (Dunbarton),ON,3800,-19,30,9,15,10,17,10,-5,-4,0,6,12,17,20,20,15,9,4,-2
Picton,ON,95,44,-77.13,95,-21,-23,29,23,33,3980,23,92,770,0.9,940,160,2,0.4,0.38,0.49,CZ5,Picton,ON,3980,-21,29,9,15,10,19,13,-7,-6,-1,6,13,17,21,20,16,10,4,-3
Plattsville,ON,300,43.3,-80.62,300,-19,-21,29,23,33,4150,28,103,820,0.9,950,140,1.9,0.4,0.33,0.42,CZ6,Plattsville,ON,4150,-19,29,11,15,10,15,11,-7,-6,-1,6,13,18,20,19,15,9,2,-4
Point Alexander,ON,150,46.13,-77.57,150,-29,-32,30,22,34,4960,23,92,650,0.8,850,100,2.5,0.4,0.27,0.35,CZ6,Point Alexander,ON,4960,-29,30,12,13,8,11,9,-12,-10,-4,4,13,18,20,18,14,8,0,-6
Port Burwell,ON,195,42.65,-80.82,195,-15,-17,30,24,34,3800,25,92,930,1.1,1000,180,1.2,0.4,0.37,0.47,CZ5,Port Burwell,ON,3800,-15,30,10,16,10,19,11,-6,-5,0,6,12,17,20,19,16,9,4,-2
Port Colborne,ON,180,42.9,-79.23,180,-15,-17,30,24,34,3600,23,108,850,1,1000,160,2.1,0.4,0.36,0.46,CZ5,Port Colborne,ON,3600,-15,30,5,16,10,27,18,-3,-3,0,5,11,18,21,21,17,11,5,0
Port Elgin,ON,205,44.43,-81.4,205,-17,-19,28,22,32,4100,25,92,790,0.9,850,180,2.8,0.4,0.37,0.48,CZ6,Port Elgin,ON,4100,-17,28,9,14,9,21,12,-6,-7,-1,5,11,16,19,19,15,9,4,-3
Port Hope,ON,100,43.95,-78.3,100,-21,-23,29,23,33,3970,23,94,760,0.9,825,180,1.2,0.4,0.37,0.48,CZ5,Port Hope,ON,3970,-21,29,9,15,10,15,8,-6,-5,0,6,12,16,20,20,16,9,4,-3
Port Perry,ON,270,44.1,-78.95,270,-22,-24,30,23,34,4260,25,97,720,0.8,850,140,2.4,0.4,0.34,0.44,CZ6,Port Perry,ON,4260,-22,30,13,15,9,15,11,-8,-7,-2,7,12,17,20,19,14,8,2,-4
Port Stanley,ON,180,42.67,-81.22,180,-15,-17,31,24,35,3850,25,92,940,1.1,975,180,1.2,0.4,0.37,0.47,CZ5,Port Stanley,ON,3850,-15,31,10,16,10,19,11,-6,-5,0,6,12,17,20,19,16,9,4,-2
Prescott,ON,90,44.72,-75.52,90,-23,-25,29,23,33,4120,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,CZ6,Prescott,ON,4120,-23,29,10,15,10,18,13,-8,-6,-1,6,13,19,21,20,16,10,3,-3
Princeton,ON,280,43.17,-80.53,280,-18,-20,30,23,34,4000,25,97,810,0.9,925,160,1.5,0.4,0.33,0.42,CZ6,Princeton,BC,4250,-24,33,16,8,10,2,7,-5,-3,2,7,11,15,19,18,14,6,-1,-5
Raith,ON,475,48.83,-89.93,475,-34,-37,28,22,32,5900,23,97,570,0.8,750,120,2.7,0.4,0.22,0.3,CZ7A,Raith,ON,5900,-34,28,16,14,6,8,8,-19,-15,-9,1,9,13,16,14,9,4,-5,-15
Rayside-Balfour (Chelmsford),ON,270,46.58,-81.2,270,-28,-30,29,21,33,5200,25,92,650,0.8,850,180,2.5,0.4,0.35,0.45,CZ7A,Rayside-Balfour (Chelmsford),ON,5200,-28,29,10,12,8,17,13,-12,-11,-4,4,12,17,20,19,13,8,0,-9
Red Lake,ON,360,51.05,-93.82,360,-35,-37,28,21,32,6220,20,92,470,0.7,630,120,2.6,0.3,0.22,0.3,CZ7B,Red Lake,ON,6220,-35,28,10,13,5,9,11,-19,-15,-8,3,11,15,19,17,10,4,-7,-17
Renfrew,ON,115,45.47,-76.68,115,-27,-30,30,23,34,4900,23,97,620,0.8,810,140,2.5,0.4,0.27,0.35,CZ6,Renfrew,ON,4900,-27,30,13,15,9,12,9,-12,-10,-4,5,12,17,20,19,13,7,0,-8
Richmond Hill,ON,230,43.87,-79.45,230,-21,-23,31,24,35,4000,25,97,740,0.8,850,140,1.5,0.4,0.34,0.44,CZ6,Richmond Hill,ON,4000,-21,31,11,16,10,15,11,-7,-6,-1,7,13,18,21,20,15,9,3,-3
Rockland,ON,50,45.55,-75.29,50,-26,-28,30,23,34,4600,23,92,780,0.9,950,160,2.4,0.4,0.31,0.4,CZ6,Rockland,ON,4600,-26,30,12,15,10,11,9,-13,-9,-3,5,13,18,21,19,14,8,1,-8
Sarnia,ON,190,42.97,-82.38,190,-16,-18,31,24,34,3750,25,100,750,0.9,825,180,1.1,0.4,0.37,0.47,CZ5,Sarnia,ON,3750,-16,31,11,16,10,19,12,-5,-4,1,6,13,18,21,20,16,10,4,-2
Sault Ste. Marie,ON,190,46.52,-84.33,190,-25,-28,29,22,33,4960,23,97,660,0.9,950,200,3.1,0.4,0.33,0.44,CZ6,Sault Ste. Marie,ON,4960,-25,29,11,14,8,14,11,-10,-9,-4,4,10,15,18,18,14,7,1,-5
Schreiber,ON,310,48.8,-87.25,310,-34,-36,27,21,31,5960,20,103,600,0.8,850,160,3.3,0.4,0.29,0.39,CZ7A,Schreiber,ON,5960,-34,27,10,13,5,11,10,-15,-13,-7,1,8,12,15,15,10,5,-3,-11
Seaforth,ON,310,43.55,-81.4,310,-17,-19,30,23,34,4100,25,108,810,0.9,1025,160,2.5,0.4,0.35,0.45,CZ6,Seaforth,ON,4100,-17,30,12,15,9,17,11,-6,-6,-1,6,13,17,20,19,15,9,3,-3
Shelburne,ON,495,44.08,-80.2,495,-22,-24,29,23,33,4700,28,108,740,0.9,900,150,3.1,0.4,0.31,0.4,CZ6,Shelburne,ON,4700,-22,29,11,15,8,14,10,-8,-8,-3,5,12,16,19,18,13,7,1,-5
Simcoe,ON,210,42.83,-80.3,210,-17,-19,30,24,34,3700,28,113,860,1,950,160,1.3,0.4,0.35,0.45,CZ5,Simcoe,ON,3700,-17,30,11,16,10,17,11,-6,-5,0,6,13,18,21,20,16,9,4,-3
Sioux Lookout,ON,375,50.07,-91.98,375,-34,-36,28,22,32,5950,25,97,520,0.7,710,100,2.6,0.3,0.22,0.3,CZ7A,Sioux Lookout,ON,5950,-34,28,10,14,6,10,10,-17,-14,-7,3,10,16,19,18,12,4,-5,-14
Smiths Falls,ON,130,44.9,-76.02,130,-25,-27,30,23,34,4540,25,92,730,0.8,850,140,2.3,0.4,0.32,0.41,CZ6,Smiths Falls,ON,4540,-25,30,12,15,9,11,8,-10,-8,-2,6,14,18,21,20,15,8,2,-6
Smithville,ON,185,43.1,-79.55,185,-16,-18,30,23,34,3650,23,108,800,0.9,900,160,1.5,0.4,0.33,0.42,CZ5,Smithville,ON,3650,-16,30,11,15,10,21,13,-4,-4,1,7,14,19,22,21,17,10,5,-1
Smooth Rock Falls,ON,235,49.28,-81.63,235,-34,-36,29,21,33,6250,20,92,560,0.8,850,80,2.7,0.3,0.25,0.32,CZ7B,Smooth Rock Falls,ON,6250,-34,29,12,12,5,13,11,-18,-15,-8,1,9,15,17,16,11,4,-4,-13
South River,ON,355,45.83,-79.38,180,-17,-19,28,22,33,4100,25,92,800,1,830,180,2.7,0.4,0.37,0.48,CZ6,South River,ON,5090,-27,29,12,14,8,12,10,-12,-11,-4,4,11,15,19,17,12,6,-1,-8
Southampton,ON,180,44.48,-81.38,355,-27,-29,29,22,32,5090,25,103,830,1,975,120,2.8,0.4,0.27,0.35,CZ7A,Southampton,ON,4100,-17,28,9,14,9,21,12,-6,-7,-1,5,11,16,19,19,15,9,4,-3
St. Catharines,ON,105,43.17,-79.25,105,-16,-18,30,23,34,3540,23,92,770,0.9,850,160,1,0.4,0.36,0.46,CZ5,St. Catharines,ON,3540,-16,30,11,15,10,21,13,-4,-4,1,7,14,19,22,21,17,10,5,-1
St. Mary's,ON,310,43.25,-81.13,310,-18,-20,30,23,34,4000,28,108,820,1,1025,160,2.2,0.4,0.37,0.47,CZ6,St. Mary's,ON,4000,-18,30,11,15,10,15,11,-7,-6,-1,6,13,17,20,19,15,9,3,-3
St. Thomas,ON,225,42.78,-81.2,225,-16,-18,31,24,35,3780,25,103,900,1,975,180,1.4,0.4,0.37,0.47,CZ5,St. Thomas,ON,3780,-16,31,12,16,10,19,11,-5,-4,1,7,14,19,21,20,16,10,4,-2
Stirling,ON,120,44.3,-77.55,120,-23,-25,30,23,34,4220,25,97,740,0.9,850,120,1.7,0.4,0.31,0.4,CZ6,Stirling,ON,4220,-23,30,13,15,9,13,9,-8,-7,-2,7,13,17,21,19,15,8,2,-5
Stratford,ON,360,43.37,-80.95,360,-18,-20,29,23,33,4050,28,113,820,1,1050,160,2.3,0.4,0.35,0.45,CZ6,Stratford,ON,4050,-18,29,11,15,9,15,11,-7,-6,-1,6,13,17,20,19,15,9,3,-3
Strathroy,ON,225,42.95,-81.63,225,-17,-19,31,24,35,3780,25,103,770,0.9,950,180,1.9,0.4,0.37,0.47,CZ5,Strathroy,ON,3780,-17,31,11,16,10,19,11,-6,-5,1,7,14,19,21,20,16,10,4,-3
Sturgeon Falls,ON,205,46.37,-79.92,205,-28,-30,29,21,33,5200,25,95,700,0.9,910,140,2.4,0.4,0.27,0.35,CZ7A,Sturgeon Falls,ON,5200,-28,29,12,12,9,14,11,-16,-10,-5,4,10,15,19,18,13,7,0,-8
Sudbury,ON,275,46.5,-81,275,-28,-30,29,21,33,5180,25,97,650,0.8,875,200,2.5,0.4,0.36,0.46,CZ7A,Sudbury,ON,5180,-28,29,10,12,8,17,13,-13,-11,-5,4,11,16,19,18,13,6,-1,-8
Sundridge,ON,340,45.77,-79.4,340,-27,-29,29,22,33,5080,25,97,840,1,975,120,2.8,0.4,0.27,0.35,CZ7A,Sundridge,ON,5080,-27,29,12,14,8,12,10,-12,-11,-4,4,11,15,19,17,12,6,-1,-8
Tavistock,ON,340,43.32,-80.83,340,-19,-21,29,23,33,4100,28,113,820,1,1010,160,2.1,0.4,0.35,0.45,CZ6,Tavistock,ON,4100,-19,29,11,15,10,15,11,-7,-6,-1,6,13,17,20,19,15,9,3,-3
Temagami,ON,300,47.07,-79.78,300,-30,-33,30,22,34,5420,23,92,650,0.8,875,120,2.6,0.4,0.29,0.37,CZ7A,Temagami,ON,5420,-30,30,10,13,8,11,10,-16,-15,-7,1,10,16,19,16,11,6,-2,-12
