#,Name,a1,b1,cc1,d1,e1,f1,g1,h1,i1,j1,q2,rr2,u2,v2,w2,x2,s2,t2,y2,a2,b2,cc2,d2,e2,f2,g2,h2,a3,b3,cc3,e3,f3,g3,h3,i3,a4,b4,cc4,CCF,iUnInsul,WalkSlab,iFndFlag_1,iFndFlag_2,iFndFlag_3,iFndFlag_4,iFndFlag_5,iFndFlag_6,iFndFlag_7,iFndFlag_8
125,BCIB_10,-0.1032,0.7695,0.1127,0.9158,1,1,1,1,0,0.08307,0.34737,1.24786,0.17541,0.62,-0.01926,0.5,0.33268,0.01075,0.25959,0.53977,0.59362,0.67201,-0.211,0.20983,-0.01246,-0.067828,0,-0.58297,0.46681,0.56007,0.34452,0.06407,-0.11395,0.83411,0,2.75786,0.21456,1,2,10,83,0,0,1,0,0,1,0,1
126,BCEB_10,-0.082866,0.747,0.005117,0.88019,1,1,1,1,0,0.35458,0.473306,0.51252,0.20883,0.62,0.31159,0.5,0.016306,0.02128,0.17215,0.3462,0.9309,0.6686,-0.01354,0.79227,-0.0679,-0.26203,0,-0.347432,0.47145,0.299225,0.25239,0.0376,-0.006287,0.802489,0,2.6695,0.2306,0.5,5,9,84,1,0,0,0,0,0,1,1
127,BCEB_11,-0.03771,0.76422,0.002345,0.887697,1,1,1,1,0,0.12,0.471953,0.512454,0.20883,0.62,0.31188,0.5,0.01655,0.02128,0.17208,0.34687,0.92964,0.66874,-0.01346,0.7903,-0.0678,-0.2613,0,-0.374325,0.47145,0.299225,0.25239,0.037,-0.006287,0.8025,0,2.6695,0.23057,0.5,5,10,83,0,0,0,0,0,0,1,1
128,BCEA_3,-0.083846,0.74827,0.00378,0.88456,1,1,1,1,0,0.356,-0.0139,0.34637,0.224479,0.62,0.65892,0.5,-0.028296,0.02288,0.17977,0.780258,0.62034,0.384045,0.18972,2.5198,0.00326,-0.81529,0,0.119523,0.25377,-0.14784,0.035197,0.103024,0.25549,0.737528,0,2.5238,0.44946,1,5,9,107,1,1,0,0,0,0,1,1
129,BCEA_9,-0.03796,0.76456,0.002095,0.88256,1,1,1,1,0,0.120206,-0.012624,0.34687,0.225017,0.62,0.656788,0.5,-0.028665,0.022879,0.179115,0.77982,0.6313,0.380318,0.184787,2.49603,0.003646,-0.80379,0,0.1195,0.25377,-0.1478,0.0352,0.10302,0.2555,0.73753,0,2.5238,0.4495,1,5,10,106,0,1,0,0,0,0,1,1
130,BCEA_10,-0.08293,0.74706,0.005237,0.88024,1,1,1,1,0,0.3546,6.3654,-0.4408,0.062176,0.62,-3.02013,0.73,1.2855,0.000656,-0.2753,6.4667,0.30873,0.7955,0.4885,0.076124,-0.013,-0.0176,0,-0.35895,0.4706,0.29198,0.25181,0.04179,-0.01444,0.80319,0,2.7359,0.1865,1,5,9,105,1,0,0,0,0,0,1,1
131,BCEA_11,-0.03776,0.76426,0.00243,0.88772,1,1,1,1,0,0.12005,6.33819,-0.4403,0.06264,0.62,-3.02994,0.735,1.28737,0.000713,-0.27657,6.4542,0.310885,0.7935,0.48715,0.076922,-0.01343,-0.01713,0,-0.3596,0.47097,0.2924,0.24922,0.04216,-0.006776,0.80074,0,2.66968,0.22882,0.5,5,10,104,0,0,0,0,0,0,1,1
132,BWIB_1,-0.013317,0.64988,0.003184,0.804315,1,1,1,1,0,0.00213,-0.097633,0.099027,0.55032,0.62,1.11642,0.5,-0.048976,0.019566,0.130299,0.5996,0.71749,0.34025,0.08138,0.893277,0.11329,-0.1694,0,0.072319,0.084716,-0.070685,0.023877,0.09743,0.241229,0.64984,0,2.31232,0.697238,1,3,13,47,1,0,0,1,1,1,0,1
133,BWIB_2,-0.01295,0.64978,0.003517,0.80405,1,1,1,1,0,0.001567,-1.18639,0.114417,0.9217,0.62,0,0.5,-0.06736,0.005783,0.3552,1.866,0.3097,0.3985,0.16595,0.333,0.06257,0.0281,0,0.04171,-0.02265,-0.0328,0.057337,0.18482,0.20786,0.55262,0,2.5,0.4681,1,7,13,53,1,0,0,1,1,1,0,1
134,BWIB_4,-0.013181,0.64982,0.003152,0.804095,1,1,1,1,0,0.002091,-0.058239,0.10623,0.54495,0.62,1.07968,0.5,-0.04388,0.01943,0.13139,0.5214,0.769,0.3355,0.06585,1.00743,0.11056,-0.2132,0,0.0899,0.10391,-0.08067,0.011959,0.088945,0.24387,0.658276,0,2.32998,0.65954,1,3,13,39,1,0,0,1,1,1,0,1
135,BWIA_3,-0.01417,0.65005,0.00282,0.8082,1,1,1,1,0,0.00406,-0.89281,0.36559,0.65962,0.62,0.043142,0.5,0.074252,0.011677,0.30314,0.87048,0.65369,0.55611,0.019229,0.22,-0.00811,-0.06774,0,-0.350977,0.22632,0.37297,0.24997,0.05595,-0.036,0.6783,0,1.59782,1.2528,0.1055,2,13,105,1,0,1,1,1,1,0,1
136,BWEB_1,-0.03089,0.65053,-0.000019,0.809187,1,1,1,1,0,0.075536,-0.1,0.1007,0.538523,0.62,1.12637,0.5,-0.039893,0.01984,0.12787,0.61526,0.69483,0.33313,0.079298,0.88223,0.11122,-0.16707,0,0.06304,0.081414,-0.07229,0.03085,0.09964,0.24666,0.62584,0,2.30788,0.715339,1,5,13,47,1,1,0,1,1,0,1,1
